Representive Gene model,Sorghum homologs ID,Gene ID.1,Gene ID.2,Gene ID.3,Gene ID.4
Sspon.01G0000240,Sobic.001G541800,Sspon.01G0000240-1A,Sspon.01G0000240-2B|Sspon.01G0000240-1P,,Sspon.01G0000240-3D|Sspon.01G0000240-2P
Sspon.01G0000250,Sobic.001G541300,Sspon.01G0000250-1A|Sspon.01G0000250-1P,Sspon.01G0000250-2B|Sspon.01G0000250-2P|Sspon.01G0000250-3P|Sspon.01G0000250-4P,,Sspon.01G0000250-3D|Sspon.01G0000250-5P|Sspon.01G0000250-6P
Sspon.01G0000260,Sobic.001G541166,Sspon.01G0000260-1A|Sspon.01G0000260-1P,Sspon.01G0000260-2B,Sspon.01G0000260-3C|Sspon.01G0000260-2P|Sspon.01G0000260-3P,Sspon.01G0000260-4D|Sspon.01G0000260-4P
Sspon.01G0000270,Sobic.001G541100,Sspon.01G0000270-1A|Sspon.01G0000270-1T,Sspon.01G0000270-2B,Sspon.01G0000270-3C,Sspon.01G0000270-4D
Sspon.01G0000280,Sobic.001G540900,Sspon.01G0000280-1A,Sspon.01G0000280-2B,,Sspon.01G0000280-3D
Sspon.01G0000290,Sobic.001G540400,Sspon.01G0000290-1A,,Sspon.01G0000290-2C,Sspon.01G0000290-3D
Sspon.01G0000300,Sobic.001G540300,Sspon.01G0000300-1A|Sspon.01G0000300-1P,,Sspon.01G0000300-2C,
Sspon.01G0000310,,Sspon.01G0000310-1A,,,
Sspon.01G0000320,Sobic.001G540600,Sspon.01G0000320-1A|Sspon.01G0000320-1P,Sspon.01G0000320-2B,Sspon.01G0000320-3C,
Sspon.01G0000330,Sobic.001G540700,Sspon.01G0000330-1A,,Sspon.01G0000330-2C|Sspon.01G0000330-1T,Sspon.01G0000330-3D
Sspon.01G0000340,Sobic.001G540100,Sspon.01G0000340-1A,,Sspon.01G0000340-2C,Sspon.01G0000340-3D
Sspon.01G0000350,Sobic.001G540200,Sspon.01G0000350-1A,,,Sspon.01G0000350-2D
Sspon.01G0000360,,Sspon.01G0000360-1A,,,
Sspon.01G0000370,Sobic.001G539600,Sspon.01G0000370-1A|Sspon.01G0000370-1P|Sspon.01G0000370-1T,Sspon.01G0000370-2B,Sspon.01G0000370-3C,Sspon.01G0000370-4D|Sspon.01G0000370-2T|Sspon.01G0000370-2P
Sspon.01G0000380,,Sspon.01G0000380-1A,,,
Sspon.01G0000390,Sobic.001G539500,Sspon.01G0000390-1A,,Sspon.01G0000390-2C,Sspon.01G0000390-3D
Sspon.01G0000400,Sobic.001G539400,Sspon.01G0000400-1A,,,Sspon.01G0000400-2D
Sspon.01G0000410,Sobic.001G539200,Sspon.01G0000410-1A,,Sspon.01G0000410-2C|Sspon.01G0000410-1P|Sspon.01G0000410-2P,Sspon.01G0000410-3D|Sspon.01G0000410-3P
Sspon.01G0000420,Sobic.001G537800,Sspon.01G0000420-1A,Sspon.01G0000420-2B,Sspon.01G0000420-3C,
Sspon.01G0000430,Sobic.001G537600,Sspon.01G0000430-1A,Sspon.01G0000430-2B,Sspon.01G0000430-3C,Sspon.01G0000430-4D
Sspon.01G0000440,Sobic.001G538932,Sspon.01G0000440-1A,Sspon.01G0000440-2B,Sspon.01G0000440-3C,Sspon.01G0000440-4D
Sspon.01G0000450,Sobic.001G538866,Sspon.01G0000450-1A,Sspon.01G0000450-2B,Sspon.01G0000450-3C,
Sspon.01G0000460,Sobic.001G538800,Sspon.01G0000460-1A,Sspon.01G0000460-2B,Sspon.01G0000460-3C|Sspon.01G0000460-1P,Sspon.01G0000460-4D|Sspon.01G0000460-1T
Sspon.01G0000470,Sobic.001G539016,Sspon.01G0000470-1A,Sspon.01G0000470-2B,Sspon.01G0000470-3C|Sspon.01G0000470-1P,
Sspon.01G0000480,Sobic.001G539016,Sspon.01G0000480-1A,Sspon.01G0000480-2B,,
Sspon.01G0000490,Sobic.001G538100,Sspon.01G0000490-1A,Sspon.01G0000490-2B,Sspon.01G0000490-3C,
Sspon.01G0000500,Sobic.001G538000,Sspon.01G0000500-1A,Sspon.01G0000500-2B|Sspon.01G0000500-1P,,Sspon.01G0000500-3D
Sspon.01G0000510,Sobic.001G537200,Sspon.01G0000510-1A,Sspon.01G0000510-2B,Sspon.01G0000510-3C|Sspon.01G0000510-1P,
Sspon.01G0000520,Sobic.001G537300,Sspon.01G0000520-1A,Sspon.01G0000520-2B,Sspon.01G0000520-3C|Sspon.01G0000520-1P,
Sspon.01G0000530,Sobic.001G537500,Sspon.01G0000530-1A,Sspon.01G0000530-2B,Sspon.01G0000530-3C,Sspon.01G0000530-4D
Sspon.01G0000540,Sobic.001G534700,Sspon.01G0000540-1A,,Sspon.01G0000540-2C|Sspon.01G0000540-1P,
Sspon.01G0000550,Sobic.001G536901,Sspon.01G0000550-1A,Sspon.01G0000550-2B,Sspon.01G0000550-3C|Sspon.01G0000550-1T,Sspon.01G0000550-4D
Sspon.01G0000560,Sobic.001G536800,Sspon.01G0000560-1A,Sspon.01G0000560-2B,Sspon.01G0000560-3C,Sspon.01G0000560-4D
Sspon.01G0000570,Sobic.001G536400,Sspon.01G0000570-1A,Sspon.01G0000570-2B,Sspon.01G0000570-3C|Sspon.01G0000570-1P,
Sspon.01G0000580,Sobic.001G536600,Sspon.01G0000580-1A,Sspon.01G0000580-2B,Sspon.01G0000580-3C,Sspon.01G0000580-4D
Sspon.01G0000590,Sobic.001G536700,Sspon.01G0000590-1A,,Sspon.01G0000590-2C,
Sspon.01G0000600,Sobic.001G536400,Sspon.01G0000600-1A,Sspon.01G0000600-2B,,
Sspon.01G0000610,Sobic.001G536100,Sspon.01G0000610-1A,Sspon.01G0000610-2B,Sspon.01G0000610-3C,Sspon.01G0000610-4D
Sspon.01G0000620,Sobic.001G536000,Sspon.01G0000620-1A,Sspon.01G0000620-2B,Sspon.01G0000620-3C,
Sspon.01G0000630,Sobic.001G535400,Sspon.01G0000630-1A,Sspon.01G0000630-2B,Sspon.01G0000630-3C,Sspon.01G0000630-4D
Sspon.01G0000640,Sobic.001G535500,Sspon.01G0000640-1A,Sspon.01G0000640-2B,Sspon.01G0000640-3C,
Sspon.01G0000650,Sobic.001G535700,Sspon.01G0000650-1A,Sspon.01G0000650-2B,Sspon.01G0000650-3C,
Sspon.01G0000660,Sobic.001G535800,Sspon.01G0000660-1A,Sspon.01G0000660-2B|Sspon.01G0000660-1T,Sspon.01G0000660-3C|Sspon.01G0000660-1P,
Sspon.01G0000670,Sobic.001G535900,Sspon.01G0000670-1A,Sspon.01G0000670-2B,Sspon.01G0000670-3C|Sspon.01G0000670-1P,
Sspon.01G0000680,Sobic.001G535600,Sspon.01G0000680-1A,,Sspon.01G0000680-2C|Sspon.01G0000680-1P,
Sspon.01G0000690,Sobic.001G535200,Sspon.01G0000690-1A|Sspon.01G0000690-1P,,Sspon.01G0000690-2C,
Sspon.01G0000700,,Sspon.01G0000700-1A,,,
Sspon.01G0000710,Sobic.001G534800,Sspon.01G0000710-1A,,Sspon.01G0000710-2C,
Sspon.01G0000720,Sobic.001G534600,Sspon.01G0000720-1A,Sspon.01G0000720-2B,Sspon.01G0000720-3C|Sspon.01G0000720-1P,Sspon.01G0000720-4D
Sspon.01G0000730,Sobic.001G534400,Sspon.01G0000730-1A,,Sspon.01G0000730-2C,
Sspon.01G0000740,Sobic.001G534532,Sspon.01G0000740-1A,Sspon.01G0000740-2B,,Sspon.01G0000740-3D
Sspon.01G0000750,Sobic.001G534300,Sspon.01G0000750-1A,Sspon.01G0000750-2B,Sspon.01G0000750-3C,
Sspon.01G0000760,Sobic.001G534300,Sspon.01G0000760-1A,,,Sspon.01G0000760-2D
Sspon.01G0000770,Sobic.001G533900,Sspon.01G0000770-1A,,,Sspon.01G0000770-2D
Sspon.01G0000780,Sobic.001G533800,Sspon.01G0000780-1A,Sspon.01G0000780-2B,Sspon.01G0000780-3C,Sspon.01G0000780-4D
Sspon.01G0000790,Sobic.001G533700,Sspon.01G0000790-1A,Sspon.01G0000790-2B,Sspon.01G0000790-3C,Sspon.01G0000790-4D
Sspon.01G0000800,Sobic.001G533700,Sspon.01G0000800-1A,,Sspon.01G0000800-2C,
Sspon.01G0000810,Sobic.001G533600,Sspon.01G0000810-1A,Sspon.01G0000810-2B,Sspon.01G0000810-3C,Sspon.01G0000810-4D
Sspon.01G0000820,Sobic.001G533500,Sspon.01G0000820-1A,Sspon.01G0000820-2B|Sspon.01G0000820-1T,Sspon.01G0000820-3C,Sspon.01G0000820-4D
Sspon.01G0000830,Sobic.001G533400,Sspon.01G0000830-1A,,Sspon.01G0000830-2C,Sspon.01G0000830-3D
Sspon.01G0000840,Sobic.001G533300,Sspon.01G0000840-1A,,Sspon.01G0000840-2C,Sspon.01G0000840-3D|Sspon.01G0000840-1P
Sspon.01G0000850,Sobic.001G533200,Sspon.01G0000850-1A,,Sspon.01G0000850-2C,Sspon.01G0000850-3D
Sspon.01G0000860,Sobic.001G533100,Sspon.01G0000860-1A,,Sspon.01G0000860-2C|Sspon.01G0000860-1T,Sspon.01G0000860-3D
Sspon.01G0000870,Sobic.001G533000,Sspon.01G0000870-1A,Sspon.01G0000870-2B,Sspon.01G0000870-3C,Sspon.01G0000870-4D
Sspon.01G0000880,Sobic.001G532900,Sspon.01G0000880-1A,Sspon.01G0000880-2B,Sspon.01G0000880-3C,
Sspon.01G0000890,Sobic.001G532700,Sspon.01G0000890-1A,Sspon.01G0000890-2B,Sspon.01G0000890-3C,Sspon.01G0000890-4D
Sspon.01G0000900,Sobic.001G532600,Sspon.01G0000900-1A,Sspon.01G0000900-2B,,Sspon.01G0000900-3D
Sspon.01G0000910,Sobic.001G532501,Sspon.01G0000910-1A,Sspon.01G0000910-2B,Sspon.01G0000910-3C,Sspon.01G0000910-4D
Sspon.01G0000920,,Sspon.01G0000920-1A,,,
Sspon.01G0000930,Sobic.004G294700,Sspon.01G0000930-1A,,Sspon.01G0000930-2C,Sspon.01G0000930-3D|Sspon.01G0000930-1P
Sspon.01G0000940,Sobic.001G532400,Sspon.01G0000940-1A,,Sspon.01G0000940-2C,
Sspon.01G0000950,Sobic.001G532300,Sspon.01G0000950-1A,Sspon.01G0000950-2B,Sspon.01G0000950-3C,
Sspon.01G0000960,Sobic.001G532200,Sspon.01G0000960-1A,,Sspon.01G0000960-2C,Sspon.01G0000960-3D|Sspon.01G0000960-1T
Sspon.01G0000970,Sobic.001G532100,Sspon.01G0000970-1A,,Sspon.01G0000970-2C,Sspon.01G0000970-3D|Sspon.01G0000970-1P
Sspon.01G0000980,Sobic.001G531900,Sspon.01G0000980-1A,Sspon.01G0000980-2B,Sspon.01G0000980-3C,Sspon.01G0000980-4D|Sspon.01G0000980-1P
Sspon.01G0000990,Sobic.001G531800,Sspon.01G0000990-1A,Sspon.01G0000990-2B,Sspon.01G0000990-3C,Sspon.01G0000990-4D
Sspon.01G0001000,Sobic.001G531700,Sspon.01G0001000-1A,Sspon.01G0001000-2B,Sspon.01G0001000-3C,Sspon.01G0001000-4D
Sspon.01G0001010,Sobic.001G531500,Sspon.01G0001010-1A,Sspon.01G0001010-2B,Sspon.01G0001010-3C,Sspon.01G0001010-4D
Sspon.01G0001020,Sobic.001G531400,Sspon.01G0001020-1A,Sspon.01G0001020-2B,Sspon.01G0001020-3C,Sspon.01G0001020-4D|Sspon.01G0001020-1P
Sspon.01G0001030,Sobic.001G531300,Sspon.01G0001030-1A,,,Sspon.01G0001030-2D|Sspon.01G0001030-1P
Sspon.01G0001040,Sobic.001G531200,Sspon.01G0001040-1A,Sspon.01G0001040-2B,Sspon.01G0001040-3C,Sspon.01G0001040-4D
Sspon.01G0001050,Sobic.001G531100,Sspon.01G0001050-1A,,Sspon.01G0001050-2C,Sspon.01G0001050-3D
Sspon.01G0001060,Sobic.001G530800,Sspon.01G0001060-1A,Sspon.01G0001060-2B,,Sspon.01G0001060-3D
Sspon.01G0001070,Sobic.001G530500,Sspon.01G0001070-1A,Sspon.01G0001070-2B|Sspon.01G0001070-1T,Sspon.01G0001070-3C|Sspon.01G0001070-2T,Sspon.01G0001070-4D
Sspon.01G0001080,Sobic.001G530600,Sspon.01G0001080-1A,,,Sspon.01G0001080-2D
Sspon.01G0001090,Sobic.001G530100,Sspon.01G0001090-1A,Sspon.01G0001090-2B|Sspon.01G0001090-1T,Sspon.01G0001090-3C,Sspon.01G0001090-4D
Sspon.01G0001100,Sobic.001G530000,Sspon.01G0001100-1A,Sspon.01G0001100-2B,Sspon.01G0001100-3C,Sspon.01G0001100-4D|Sspon.01G0001100-1T
Sspon.01G0001110,Sobic.001G529800,Sspon.01G0001110-1A,Sspon.01G0001110-2B,Sspon.01G0001110-3C,
Sspon.01G0001120,Sobic.001G529700,Sspon.01G0001120-1A,Sspon.01G0001120-2B,Sspon.01G0001120-3C,
Sspon.01G0001130,Sobic.001G529600,Sspon.01G0001130-1A|Sspon.01G0001130-1P,,Sspon.01G0001130-2C,Sspon.01G0001130-3D
Sspon.01G0001140,Sobic.001G528400,Sspon.01G0001140-1A,Sspon.01G0001140-2B,Sspon.01G0001140-3C,Sspon.01G0001140-4D|Sspon.01G0001140-1P
Sspon.01G0001150,Sobic.001G528800,Sspon.01G0001150-1A,,,Sspon.01G0001150-2D
Sspon.01G0001160,Sobic.001G528900,Sspon.01G0001160-1A,Sspon.01G0001160-2B,,Sspon.01G0001160-3D
Sspon.01G0001170,Sobic.001G529000,Sspon.01G0001170-1A,Sspon.01G0001170-2B,,
Sspon.01G0001180,Sobic.001G529100,Sspon.01G0001180-1A,Sspon.01G0001180-2B,,
Sspon.01G0001190,Sobic.001G529200,Sspon.01G0001190-1A,Sspon.01G0001190-2B,,Sspon.01G0001190-3D
Sspon.01G0001200,Sobic.001G313600,Sspon.01G0001200-1A,Sspon.01G0001200-2B,Sspon.01G0001200-3C,Sspon.01G0001200-4D|Sspon.01G0001200-1P
Sspon.01G0001210,Sobic.001G528100,Sspon.01G0001210-1A,Sspon.01G0001210-2B,Sspon.01G0001210-3C,
Sspon.01G0001220,Sobic.001G527900,Sspon.01G0001220-1A,,Sspon.01G0001220-2C|Sspon.01G0001220-1P,Sspon.01G0001220-3D
Sspon.01G0001230,Sobic.001G527800,Sspon.01G0001230-1A,,Sspon.01G0001230-2C,Sspon.01G0001230-3D
Sspon.01G0001240,Sobic.001G527700,Sspon.01G0001240-1A|Sspon.01G0001240-1P,,Sspon.01G0001240-2C,
Sspon.01G0001250,Sobic.001G527600,Sspon.01G0001250-1A|Sspon.01G0001250-1P|Sspon.01G0001250-2P|Sspon.01G0001250-1T,,Sspon.01G0001250-2C,Sspon.01G0001250-3D
Sspon.01G0001260,Sobic.001G527500,Sspon.01G0001260-1A,Sspon.01G0001260-2B,Sspon.01G0001260-3C,Sspon.01G0001260-4D
Sspon.01G0001270,Sobic.001G527300,Sspon.01G0001270-1A,Sspon.01G0001270-2B,Sspon.01G0001270-3C,Sspon.01G0001270-4D
Sspon.01G0001280,Sobic.001G527200,Sspon.01G0001280-1A,Sspon.01G0001280-2B,Sspon.01G0001280-3C,Sspon.01G0001280-4D
Sspon.01G0001290,Sobic.001G527100,Sspon.01G0001290-1A,Sspon.01G0001290-2B,Sspon.01G0001290-3C,Sspon.01G0001290-4D
Sspon.01G0001300,Sobic.001G527000,Sspon.01G0001300-1A,Sspon.01G0001300-2B,Sspon.01G0001300-3C,Sspon.01G0001300-4D
Sspon.01G0001310,Sobic.001G314300,Sspon.01G0001310-1A,Sspon.01G0001310-2B|Sspon.01G0001310-1P,Sspon.01G0001310-3C|Sspon.01G0001310-2P|Sspon.01G0001310-3P,Sspon.01G0001310-4D
Sspon.01G0001320,Sobic.001G314400,Sspon.01G0001320-1A,Sspon.01G0001320-2B,Sspon.01G0001320-3C|Sspon.01G0001320-1P,Sspon.01G0001320-4D
Sspon.01G0001330,Sobic.001G526600,Sspon.01G0001330-1A,Sspon.01G0001330-2B,Sspon.01G0001330-3C,Sspon.01G0001330-4D
Sspon.01G0001340,Sobic.001G526500,Sspon.01G0001340-1A,Sspon.01G0001340-2B,Sspon.01G0001340-3C|Sspon.01G0001340-1P,Sspon.01G0001340-4D
Sspon.01G0001350,Sobic.001G526300,Sspon.01G0001350-1A,,Sspon.01G0001350-2C,Sspon.01G0001350-3D
Sspon.01G0001360,Sobic.001G526300,Sspon.01G0001360-1A,,Sspon.01G0001360-2C,Sspon.01G0001360-3D
Sspon.01G0001370,Sobic.001G526100,Sspon.01G0001370-1A,Sspon.01G0001370-2B,,
Sspon.01G0001380,Sobic.001G526200,Sspon.01G0001380-1A|Sspon.01G0001380-1P|Sspon.01G0001380-2P,,,Sspon.01G0001380-2D
Sspon.01G0001390,Sobic.001G314700,Sspon.01G0001390-1A,Sspon.01G0001390-2B,Sspon.01G0001390-3C,
Sspon.01G0001400,Sobic.001G525900,Sspon.01G0001400-1A|Sspon.01G0001400-1P,Sspon.01G0001400-2B|Sspon.01G0001400-1T,Sspon.01G0001400-3C|Sspon.01G0001400-2P,Sspon.01G0001400-4D|Sspon.01G0001400-3P|Sspon.01G0001400-4P
Sspon.01G0001410,Sobic.001G315000,Sspon.01G0001410-1A,Sspon.01G0001410-2B,,
Sspon.01G0001420,Sobic.001G525400,Sspon.01G0001420-1A,Sspon.01G0001420-2B,Sspon.01G0001420-3C,Sspon.01G0001420-4D
Sspon.01G0001430,Sobic.001G525300,Sspon.01G0001430-1A,Sspon.01G0001430-2B,Sspon.01G0001430-3C,Sspon.01G0001430-4D
Sspon.01G0001440,Sobic.001G525101,Sspon.01G0001440-1A,Sspon.01G0001440-2B,Sspon.01G0001440-3C,
Sspon.01G0001450,Sobic.001G525000,Sspon.01G0001450-1A,Sspon.01G0001450-2B,Sspon.01G0001450-3C,
Sspon.01G0001460,Sobic.001G524900,Sspon.01G0001460-1A,Sspon.01G0001460-2B,Sspon.01G0001460-3C,
Sspon.01G0001470,Sobic.001G524750,Sspon.01G0001470-1A,Sspon.01G0001470-2B,Sspon.01G0001470-3C,
Sspon.01G0001480,Sobic.001G524500,Sspon.01G0001480-1A,Sspon.01G0001480-2B,Sspon.01G0001480-3C,
Sspon.01G0001490,Sobic.001G524400,Sspon.01G0001490-1A,Sspon.01G0001490-2B,Sspon.01G0001490-3C,Sspon.01G0001490-4D
Sspon.01G0001500,Sobic.001G524300,Sspon.01G0001500-1A,Sspon.01G0001500-2B,Sspon.01G0001500-3C,Sspon.01G0001500-4D
Sspon.01G0001510,Sobic.001G524200,Sspon.01G0001510-1A,Sspon.01G0001510-2B,Sspon.01G0001510-3C,Sspon.01G0001510-4D
Sspon.01G0001520,Sobic.001G524100,Sspon.01G0001520-1A,Sspon.01G0001520-2B,,Sspon.01G0001520-3D
Sspon.01G0001530,Sobic.001G524000,Sspon.01G0001530-1A,Sspon.01G0001530-2B,,Sspon.01G0001530-3D|Sspon.01G0001530-1P
Sspon.01G0001540,Sobic.001G523800,Sspon.01G0001540-1A,Sspon.01G0001540-2B|Sspon.01G0001540-1P,Sspon.01G0001540-3C,Sspon.01G0001540-4D
Sspon.01G0001550,Sobic.001G523700,Sspon.01G0001550-1A,,,Sspon.01G0001550-2D
Sspon.01G0001560,Sobic.001G316200,Sspon.01G0001560-1A,Sspon.01G0001560-2B|Sspon.01G0001560-1P,Sspon.01G0001560-3C|Sspon.01G0001560-2P,
Sspon.01G0001570,Sobic.001G316300,Sspon.01G0001570-1A,,,
Sspon.01G0001580,Sobic.001G316400,Sspon.01G0001580-1A,Sspon.01G0001580-2B,,
Sspon.01G0001590,Sobic.001G523300,Sspon.01G0001590-1A,,,Sspon.01G0001590-2D
Sspon.01G0001600,Sobic.001G523200,Sspon.01G0001600-1A,,,Sspon.01G0001600-2D
Sspon.01G0001610,Sobic.001G523000,Sspon.01G0001610-1A,,,Sspon.01G0001610-2D|Sspon.01G0001610-1P
Sspon.01G0001620,Sobic.001G522900,Sspon.01G0001620-1A,Sspon.01G0001620-2B,Sspon.01G0001620-3C,Sspon.01G0001620-4D|Sspon.01G0001620-1P
Sspon.01G0001630,Sobic.001G522600,Sspon.01G0001630-1A,Sspon.01G0001630-2B,,
Sspon.01G0001640,Sobic.001G316900,Sspon.01G0001640-1A|Sspon.01G0001640-1P,Sspon.01G0001640-2B|Sspon.01G0001640-2P,Sspon.01G0001640-3C|Sspon.01G0001640-3P,Sspon.01G0001640-4D
Sspon.01G0001650,Sobic.001G522400,Sspon.01G0001650-1A,,,Sspon.01G0001650-2D
Sspon.01G0001660,Sobic.001G522200,Sspon.01G0001660-1A|Sspon.01G0001660-1T,Sspon.01G0001660-2B,Sspon.01G0001660-3C,
Sspon.01G0001670,Sobic.001G522100,Sspon.01G0001670-1A,Sspon.01G0001670-2B,Sspon.01G0001670-3C,Sspon.01G0001670-4D
Sspon.01G0001680,Sobic.001G522000,Sspon.01G0001680-1A,Sspon.01G0001680-2B,Sspon.01G0001680-3C,Sspon.01G0001680-4D
Sspon.01G0001690,Sobic.001G521900,Sspon.01G0001690-1A,Sspon.01G0001690-2B,Sspon.01G0001690-3C,Sspon.01G0001690-4D
Sspon.01G0001700,Sobic.001G521850,Sspon.01G0001700-1A,,Sspon.01G0001700-2C,Sspon.01G0001700-3D
Sspon.01G0001710,Sobic.001G521500,Sspon.01G0001710-1A,,Sspon.01G0001710-2C,Sspon.01G0001710-3D|Sspon.01G0001710-1P
Sspon.01G0001720,Sobic.001G521100,Sspon.01G0001720-1A,Sspon.01G0001720-2B,Sspon.01G0001720-3C,
Sspon.01G0001730,Sobic.001G520900,Sspon.01G0001730-1A,Sspon.01G0001730-2B|Sspon.01G0001730-1P,,Sspon.01G0001730-3D|Sspon.01G0001730-2P
Sspon.01G0001740,Sobic.001G520700,Sspon.01G0001740-1A,Sspon.01G0001740-2B,Sspon.01G0001740-3C,Sspon.01G0001740-4D
Sspon.01G0001750,Sobic.001G520300,Sspon.01G0001750-1A,Sspon.01G0001750-2B,,Sspon.01G0001750-3D
Sspon.01G0001760,Sobic.001G520200,Sspon.01G0001760-1A,Sspon.01G0001760-2B,Sspon.01G0001760-3C,Sspon.01G0001760-4D
Sspon.01G0001770,Sobic.001G520100,Sspon.01G0001770-1A,Sspon.01G0001770-2B,Sspon.01G0001770-3C,Sspon.01G0001770-4D
Sspon.01G0001780,Sobic.001G519900,Sspon.01G0001780-1A,Sspon.01G0001780-2B,Sspon.01G0001780-3C,Sspon.01G0001780-4D
Sspon.01G0001790,Sobic.001G519800,Sspon.01G0001790-1A,Sspon.01G0001790-2B,,Sspon.01G0001790-3D|Sspon.01G0001790-1P
Sspon.01G0001800,Sobic.001G519000,Sspon.01G0001800-1A,Sspon.01G0001800-2B|Sspon.01G0001800-1T,Sspon.01G0001800-3C,Sspon.01G0001800-4D|Sspon.01G0001800-1P
Sspon.01G0001810,,Sspon.01G0001810-1A,,,
Sspon.01G0001820,Sobic.001G519300,Sspon.01G0001820-1A,Sspon.01G0001820-2B,,Sspon.01G0001820-3D
Sspon.01G0001830,Sobic.001G519700,Sspon.01G0001830-1A,Sspon.01G0001830-2B,Sspon.01G0001830-3C|Sspon.01G0001830-1P,Sspon.01G0001830-4D
Sspon.01G0001840,Sobic.001G424500,Sspon.01G0001840-1A,Sspon.01G0001840-2B,Sspon.01G0001840-3C,Sspon.01G0001840-4D
Sspon.01G0001850,,Sspon.01G0001850-1A,,,
Sspon.01G0001860,Sobic.001G423600,Sspon.01G0001860-1A,Sspon.01G0001860-2B,Sspon.01G0001860-3C,
Sspon.01G0001870,Sobic.001G516901,Sspon.01G0001870-1A,Sspon.01G0001870-2B,,Sspon.01G0001870-3D
Sspon.01G0001880,Sobic.001G516800,Sspon.01G0001880-1A,Sspon.01G0001880-2B|Sspon.01G0001880-1T,Sspon.01G0001880-3C,
Sspon.01G0001890,Sobic.001G516500,Sspon.01G0001890-1A,Sspon.01G0001890-2B,Sspon.01G0001890-3C,Sspon.01G0001890-4D
Sspon.01G0001900,Sobic.001G516200,Sspon.01G0001900-1A,Sspon.01G0001900-2B,Sspon.01G0001900-3C,Sspon.01G0001900-4D
Sspon.01G0001910,Sobic.001G516000,Sspon.01G0001910-1A,Sspon.01G0001910-2B,Sspon.01G0001910-3C,Sspon.01G0001910-4D
Sspon.01G0001920,,Sspon.01G0001920-1A,,,
Sspon.01G0001930,Sobic.002G375100,Sspon.01G0001930-1A,Sspon.01G0001930-2B|Sspon.01G0001930-1T,,Sspon.01G0001930-3D
Sspon.01G0001940,Sobic.001G515800,Sspon.01G0001940-1A,Sspon.01G0001940-2B,,Sspon.01G0001940-3D
Sspon.01G0001950,Sobic.001G515500,Sspon.01G0001950-1A,Sspon.01G0001950-2B,,Sspon.01G0001950-3D|Sspon.01G0001950-1P
